"","latitude","longitude","ocean_prd"
"593",2.5,92.5,230.54574537037
"594",2.5,93.5,242.63556712963
"595",2.5,94.5,259.777159722222
"596",2.5,95.5,303.735829782197
"597",2.5,96.5,349.942736979167
"598",2.5,97.5,765.734255151515
"599",2.5,98.5,1339.22704085498
"600",2.5,99.5,NA
"601",2.5,100.5,2172.60074098124
"602",2.5,101.5,1613.65832828283
"603",2.5,102.5,1533.55273333333
"604",2.5,104.5,555.163886574074
"605",2.5,105.5,356.6601
"606",2.5,106.5,339.414255555556
"607",2.5,107.5,338.405824074074
"608",2.5,108.5,514.067638095238
"609",2.5,109.5,625.991686497326
"610",2.5,117.5,1606.372875
"611",2.5,118.5,635.17465
"612",2.5,119.5,292.928178240741
"613",2.5,120.5,278.309337962963
"614",2.5,121.5,269.872534722222
"615",2.5,122.5,266.465361111111
"616",2.5,123.5,259.973953703704
"617",2.5,124.5,264.887217592593
"618",2.5,125.5,329.170769607843
"619",2.5,126.5,400.130011574074
"620",2.5,127.5,417.801333333333
"621",2.5,128.5,386.268697530864
"622",2.5,129.5,353.258127314815
"623",2.5,130.5,314.354673611111
"624",2.5,131.5,318.489236111111
"625",2.5,132.5,305.412081018519
"626",2.5,133.5,297.520592592593
"627",2.5,134.5,291.382944444444
"628",2.5,135.5,281.572974537037
"629",2.5,136.5,271.429122685185
"630",2.5,137.5,262.426766203704
"631",3.5,92.5,247.304282407407
"632",3.5,93.5,257.38075462963
"633",3.5,94.5,271.379261574074
"634",3.5,95.5,310.878414351852
"635",3.5,96.5,479.235416666667
"636",3.5,97.5,622.961472222222
"637",3.5,98.5,1329.28577777778
"638",3.5,99.5,1261.55829829545
"639",3.5,100.5,1445.18652020202
"640",3.5,101.5,1840.23083333333
"641",3.5,104.5,399.14474537037
"642",3.5,105.5,320.006730952381
"643",3.5,106.5,310.393637052342
"644",3.5,107.5,328.411118055556
"645",3.5,108.5,344.159711111111
"646",3.5,109.5,323.380331018519
"647",3.5,117.5,2103.614775
"648",3.5,118.5,563.47587037037
"649",3.5,119.5,320.456326388889
"650",3.5,120.5,271.933152777778
"651",3.5,121.5,263.876622685185
"652",3.5,122.5,256.801305555556
"653",3.5,123.5,253.646231481481
"654",3.5,124.5,247.777423611111
"655",3.5,125.5,252.838985294118
"656",3.5,126.5,218.189664215686
"657",3.5,127.5,241.785277777778
"658",3.5,128.5,317.778113425926
"659",3.5,129.5,339.022847222222
"660",3.5,130.5,322.338009259259
"661",3.5,131.5,317.710456018519
"662",3.5,132.5,308.766189814815
"663",3.5,133.5,311.402990740741
"664",3.5,134.5,298.272891203704
"665",3.5,135.5,276.872666666667
"666",4.5,91.5,259.855997685185
"667",4.5,92.5,276.413136574074
"668",4.5,93.5,277.484467592593
"669",4.5,94.5,284.23306712963
"670",4.5,95.5,469.978908216783
"671",4.5,96.5,1181.58316666667
"672",4.5,97.5,1321.39411111111
"673",4.5,98.5,747.454583333333
"674",4.5,99.5,787.5601875
"675",4.5,100.5,1218.25234649123
"676",4.5,104.5,370.518363425926
"677",4.5,105.5,315.257039351852
"678",4.5,106.5,304.836900462963
"679",4.5,107.5,310.573541666667
"680",4.5,108.5,314.234119047619
"681",4.5,109.5,280.495039351852
"682",4.5,118.5,730.483010416667
"683",4.5,119.5,540.530547979798
"684",4.5,120.5,297.83593287037
"685",4.5,121.5,264.664810185185
"686",4.5,122.5,260.685143518519
"687",4.5,123.5,268.488439814815
"688",4.5,124.5,271.192185185185
"689",4.5,125.5,216.314365740741
"690",4.5,126.5,165.531571078431
"691",4.5,127.5,176.440224537037
"692",4.5,128.5,205.687564814815
"693",4.5,129.5,266.817712962963
"694",4.5,130.5,296.956368055556
"695",4.5,131.5,296.870340277778
"696",4.5,132.5,303.660483796296
"697",5.5,91.5,286.208972222222
"698",5.5,92.5,306.456944444444
"699",5.5,93.5,314.317865740741
"700",5.5,94.5,364.052909722222
"701",5.5,95.5,495.631845833333
"702",5.5,96.5,436.175607638889
"703",5.5,97.5,531.724633333333
"704",5.5,98.5,552.885233796296
"705",5.5,99.5,754.790212962963
"706",5.5,104.5,361.595034722222
"707",5.5,105.5,338.713962962963
"708",5.5,106.5,320.855590277778
"709",5.5,107.5,293.389331018519
"710",5.5,108.5,280.895405092593
"711",5.5,109.5,275.321166666667
"712",5.5,125.5,286.627636111111
"713",5.5,126.5,163.203321759259
"714",5.5,127.5,158.690263888889
"715",5.5,128.5,172.028402777778
"716",5.5,129.5,188.498053240741
"717",5.5,130.5,208.429333333333
"718",6.5,91.5,293.629446759259
"719",6.5,92.5,313.260023148148
"720",6.5,93.5,346.065173809524
"721",6.5,94.5,367.947585648148
"722",6.5,95.5,389.167775462963
"723",6.5,96.5,380.381902777778
"724",6.5,97.5,419.881481481482
"725",6.5,98.5,509.496759259259
"726",6.5,103.5,433.311238425926
"727",6.5,104.5,396.916071759259
"728",6.5,105.5,426.272606481481
"729",6.5,106.5,366.932081018518
"730",6.5,107.5,317.983125
"731",6.5,108.5,290.280164351852
"732",6.5,109.5,277.323178240741
"733",7.5,91.5,300.489912037037
"734",7.5,92.5,325.649615740741
"735",7.5,93.5,394.245421717172
"736",7.5,94.5,344.074185185185
"737",7.5,95.5,338.836173611111
"738",7.5,96.5,351.719030092593
"739",7.5,97.5,403.955550925926
"740",7.5,105.5,585.246476851852
"741",7.5,106.5,474.288868055556
"742",7.5,107.5,354.509113425926
"743",7.5,108.5,304.742960648148
"744",7.5,109.5,296.449856481482
"745",7.5,110.5,298.3711875
"746",8.5,92.5,352.103400462963
