OBJECTID,year,longitude,latitude,conflict,conflict50nmi,conflict100nmi,fatalities100nmi,conflict150nmi,conflict200nmi,ocean_prd,ind_iuu000,nid_iuu000,iuu000,battle_count100nmi,protest_count100nmi,civilian_count100nmi,conflictm712,fatam712,ocp16,ocp1014mean,annual_catch1014,annual_indcatch1014,annual_nidcatch1014,conflict2016,catchdev,indcatchdev,nidcatchdev,indcatch000,nidcatch000,catch000,devgroup1,devgroup2,devgroup3,devgroup4,prodummy1,prodummy2,prodummy3,prodummy4,prodummy5,prodummy6,prodummy7,prodummy8,prodummy9,prodummy10,prodummy11,prodummy12,prodummy13,prodummy14,prodummy15,prodummy16,prodummy17,prodummy18,prodummy19,prodummy20,prodummy21,prodummy22,prodummy23,prodummy24,prodummy25,prodummy26,prodummy27,prodummy28,prodummy29,prodummy30,prodummy31,prodummy32,prodummy33,prodummy34
185,2015,114.477656475,-11.3616412701,0,0,0,0,9,30,333.2131000094944,0.008409620262682438,0,0.008409620262682438,0,0,0,0,0,258.8824462890625,325.2099304199219,0.11147533357143402,0.11147533357143402,0,0,-1.6867152452468872,-1.6757304668426514,-1.6930298805236816,0.11271799355745316,0,0.11271799355745316,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
186,2015,115.47478644,-11.3616412701,0,0,0,0,10,19,326.8584153917101,0.008643659763038158,0,0.008643659763038158,0,0,0,0,0,250.35299682617188,315.19317626953125,0.12395060062408447,0.12395060062408447,0,0,-1.6869852542877197,-1.6762140989303589,-1.6930298805236816,0.11590293049812317,0,0.11590293049812317,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
187,2015,116.471916406,-11.3616412701,0,0,0,0,10,20,329.2028088039822,0.004561750218272209,0,0.004561749752610922,0,0,0,0,0,252.64813232421875,308.6570739746094,0.12280247360467911,0.12280247360467911,0,0,-1.704069972038269,-1.7225030660629272,-1.6930298805236816,0.061132680624723434,0,0.061132680624723434,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
188,2015,117.469046371,-11.3616412701,0,0,0,0,9,15,346.4387936062283,0.008567390032112598,0,0.008567389100790024,0,0,0,0,0,270.3688049316406,322.1521911621094,0.09208843111991882,0.09208843111991882,0,0,-1.6869070529937744,-1.6760540008544922,-1.6930526494979858,0.11486790329217911,0,0.11486789584159851,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
189,2015,118.466176336,-11.3616412701,0,0,1,0,7,10,359.6561711629232,0.008274700492620468,0,0.008274700492620468,0,1,0,0,0,281.28167724609375,335.1455993652344,0.10380788147449493,0.10380788147449493,0,0,-1.6878033876419067,-1.6782803535461426,-1.6930298805236816,0.11092496663331985,0,0.11092496663331985,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
190,2015,119.463306302,-11.3616412701,0,0,1,0,5,7,373.311632792155,0.005876310169696808,0,0.0058763097040355206,0,1,0,0,0,292.144287109375,346.8899841308594,0.09995067119598389,0.09995067119598389,0,0,-1.6961175203323364,-1.701092004776001,-1.6930298805236816,0.07874690741300583,0,0.07874690741300583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
191,2015,120.460436267,-11.3616412701,0,0,1,0,1,10,379.4358512030707,0.0037844900507479906,0,0.0037844900507479906,0,1,0,0,0,299.2020568847656,356.927001953125,0.13894489407539368,0.13894489407539368,0,0,-1.713524341583252,-1.7480636835098267,-1.6930298805236816,0.05066268891096115,0,0.05066268891096115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
192,2015,121.457566233,-11.3616412701,0,0,0,0,6,14,396.9700741238064,0.009355380199849606,0,0.009355380199849606,0,0,0,0,0,309.82904052734375,371.04876708984375,0.10047431290149689,0.10047431290149689,0,0,-1.6890608072280884,-1.6817736625671387,-1.6930307149887085,0.12510347366333008,0,0.12510347366333008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
193,2015,122.454696198,-11.3616412701,0,0,5,0,9,11,401.9025590684679,0.1919572502374649,0.03364956006407738,0.22560681402683258,0,4,1,3,0,312.7354736328125,370.2911071777344,1.474061369895935,1.397291898727417,0.07676958292722702,1,-1.713982343673706,-1.7145925760269165,-1.6719087362289429,1.2998839616775513,0.10369713604450226,1.403581142425537,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,2015,123.451826163,-11.3616412701,0,4,9,0,10,10,328.8222388065223,0.3518577218055725,0.09354650974273682,0.4454042315483093,0,8,1,4,0,284.20196533203125,318.6876525878906,3.108375072479248,2.8116512298583984,0.29672375321388245,1,-2.130939483642578,-2.0725667476654053,-1.6828006505966187,2.1520159244537354,0.2790752351284027,2.431091070175171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,2015,124.448956129,-11.3616412701,0,4,9,0,10,10,323.5723114013672,0.9972999095916748,0.06848452240228653,1.0657844543457031,0,8,1,4,0,280.3916015625,324.7822265625,5.165320873260498,5.013058662414551,0.15226221084594727,1,-0.9717593193054199,1.6596461534500122,-1.6578421592712402,5.5458526611328125,0.20385311543941498,5.749705791473389,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,2015,125.446086094,-11.3616412701,0,0,9,0,10,10,324.5709067450629,1.0409486293792725,0.07858633249998093,1.1195350885391235,0,8,1,4,0,295.2095947265625,348.76416015625,5.855465412139893,5.636715888977051,0.21874937415122986,1,-1.010915756225586,0.007257995195686817,-1.6944173574447632,5.069127559661865,0.21882344782352448,5.2879509925842285,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,2015,126.443216059,-11.3616412701,0,0,0,0,10,10,399.0671785142687,0.5747654438018799,0.013073700480163097,0.5878391861915588,0,0,0,0,0,416.0758056640625,439.7708435058594,1.9471811056137085,1.9230480194091797,0.02413317933678627,0,-1.9276556968688965,-1.1397398710250854,-1.6956106424331665,2.330594301223755,0.03972641006112099,2.3703207969665527,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,2015,127.440346025,-11.3616412701,0,0,0,0,0,5,492.6742969089084,0.09094775468111038,2.3199000861495733e-4,0.0911797434091568,0,0,0,0,0,498.88671875,481.67071533203125,0.4035746157169342,0.40335217118263245,2.22456015762873e-4,0,-2.105665445327759,-1.7172236442565918,-1.694373607635498,0.2976958155632019,4.68190002720803e-4,0.2981640100479126,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
