"","X","...1","latitude","longitude","sum_IUU","sum_reported","coords","sum_NIUU","sum_Nreported","total_IUU_catch","total_catch","conflict0nmi","conflict50nmi","conflict100nmi","conflict150nmi","conflict200nmi","fatalities100nmi","ocean_ord","ocean_prd","prodummy1","prodummy2","prodummy3","prodummy4","prodummy5","prodummy6","prodummy7","prodummy8","prodummy9","prodummy10","prodummy11","prodummy12","prodummy13","prodummy14","prodummy15","prodummy16","prodummy17","prodummy18","prodummy19","prodummy20","prodummy21","prodummy22","prodummy23","prodummy24","prodummy25","prodummy26","prodummy27","prodummy28","prodummy29","prodummy30","prodummy31","prodummy32","prodummy33","prodummy34","indcatch000","nidcatch000","catch000"
"37",37,37,-11.5,114.5,8.40962,112.71799,"114.5,-11.5",0,0,8.40962,112.71799,0,0,0,0,1,4,334.73537037037,334.73537037037,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.11271799,0,0.11271799
"38",38,38,-11.5,115.5,8.64366,115.90293,"115.5,-11.5",0,0,8.64366,115.90293,0,0,0,5,5,0,334.413337962963,334.413337962963,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.11590293,0,0.11590293
"39",39,39,-11.5,116.5,4.56175,61.13268,"116.5,-11.5",0,0,4.56175,61.13268,0,0,0,5,5,2,339.264018518519,339.264018518519,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.06113268,0,0.06113268
"40",40,40,-11.5,117.5,8.56739,114.8679,"117.5,-11.5",0,0,8.56739,114.8679,0,0,0,0,0,0,353.824703703704,353.824703703704,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.1148679,0,0.1148679
"41",41,41,-11.5,118.5,8.2747,110.92497,"118.5,-11.5",0,0,8.2747,110.92497,0,0,0,3,4,2,369.259087962963,369.259087962963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.11092497,0,0.11092497
"42",42,42,-11.5,119.5,5.87631,78.74691,"119.5,-11.5",0,0,5.87631,78.74691,0,0,1,1,1,0,368.967236111111,368.967236111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07874691,0,0.07874691
"43",43,43,-11.5,120.5,3.78449,50.66269,"120.5,-11.5",0,0,3.78449,50.66269,0,0,0,0,0,0,377.72818287037,377.72818287037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.05066269,0,0.05066269
"44",44,44,-11.5,121.5,9.35538,125.10348,"121.5,-11.5",0,0,9.35538,125.10348,0,0,0,0,0,0,387.819134259259,387.819134259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.12510348,0,0.12510348
"45",45,45,-11.5,122.5,191.95725,1299.88392,"122.5,-11.5",32.977,103.69714,224.93425,1403.58106,0,0,0,0,0,0,383.14905787037,383.14905787037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.29988392,0.10369714,1.40358106
"46",46,46,-11.5,123.5,345.94391,2152.01585,"123.5,-11.5",88.7496,279.07524,434.69351,2431.09109,0,4,5,5,5,0,348.047675925926,348.047675925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.15201585,0.27907524,2.43109109
"47",47,47,-11.5,124.5,997.29835,5545.85253,"124.5,-11.5",64.82804,203.85312,1062.12639,5749.70565,0,0,4,5,5,1,353.026645833333,353.026645833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.54585253,0.20385312,5.74970565
"48",48,48,-11.5,125.5,1039.17822,5069.1276,"125.5,-11.5",69.58868,218.82345,1108.7669,5287.95105,0,0,0,0,0,0,365.934634259259,365.934634259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0691276,0.21882345,5.28795105
"49",49,49,-11.5,126.5,574.76543,2330.5944,"126.5,-11.5",12.84789,39.72641,587.61332,2370.32081,0,0,0,0,0,0,461.235606481481,461.235606481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3305944,0.03972641,2.37032081
"50",50,50,-11.5,127.5,90.94775,297.69582,"127.5,-11.5",0.20134,0.46819,91.14909,298.16401,0,0,0,0,0,0,530.49287962963,530.49287962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.29769582,0.00046819,0.29816401
